From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station
24-01-2022 00:00,25-01-2022 00:00,19.4,2.2,8.39,9.6,162.36,136.58,Delhi,Delhi,"DTU, Delhi - CPCB"
25-01-2022 00:00,26-01-2022 00:00,19.53,1.96,8.21,9.58,164.14,117.64,Delhi,Delhi,"DTU, Delhi - CPCB"
26-01-2022 00:00,27-01-2022 00:00,23.4,1.77,8.6,9.59,179.09,133.37,Delhi,Delhi,"DTU, Delhi - CPCB"
27-01-2022 00:00,28-01-2022 00:00,29.45,1.57,8.3,9.58,164.06,124.59,Delhi,Delhi,"DTU, Delhi - CPCB"
28-01-2022 00:00,29-01-2022 00:00,32.61,1.35,8.01,9.54,159.79,107.08,Delhi,Delhi,"DTU, Delhi - CPCB"
29-01-2022 00:00,30-01-2022 00:00,33.76,1.45,8.01,,194.84,118.42,Delhi,Delhi,"DTU, Delhi - CPCB"
30-01-2022 00:00,31-01-2022 00:00,35.91,1.38,8.69,,191.22,136.49,Delhi,Delhi,"DTU, Delhi - CPCB"
31-01-2022 00:00,01-02-2022 00:00,25.3,1.98,9.15,,269.23,212.44,Delhi,Delhi,"DTU, Delhi - CPCB"
01-02-2022 00:00,02-02-2022 00:00,20.03,1.48,11.07,,245.48,200.2,Delhi,Delhi,"DTU, Delhi - CPCB"
02-02-2022 00:00,03-02-2022 00:00,30.13,0.31,9.79,,189.65,137.15,Delhi,Delhi,"DTU, Delhi - CPCB"
03-02-2022 00:00,04-02-2022 00:00,27.83,0.55,12.69,,145.08,122.9,Delhi,Delhi,"DTU, Delhi - CPCB"
04-02-2022 00:00,05-02-2022 00:00,28.64,1.06,16.21,23.56,51.03,55.45,Delhi,Delhi,"DTU, Delhi - CPCB"
05-02-2022 00:00,06-02-2022 00:00,25.75,0.81,11.45,22.33,214.4,106.6,Delhi,Delhi,"DTU, Delhi - CPCB"
06-02-2022 00:00,07-02-2022 00:00,25.55,3.36,11.59,26.94,306.91,222.4,Delhi,Delhi,"DTU, Delhi - CPCB"
07-02-2022 00:00,08-02-2022 00:00,25.35,1.47,10.19,28.84,290.62,177.28,Delhi,Delhi,"DTU, Delhi - CPCB"
08-02-2022 00:00,09-02-2022 00:00,28.58,1.37,11.34,26.78,297.03,178.34,Delhi,Delhi,"DTU, Delhi - CPCB"
09-02-2022 00:00,10-02-2022 00:00,34.29,1.19,10.19,17.15,130.3,83.57,Delhi,Delhi,"DTU, Delhi - CPCB"
10-02-2022 00:00,11-02-2022 00:00,30.11,1.01,10.28,17.28,159.66,91.43,Delhi,Delhi,"DTU, Delhi - CPCB"
11-02-2022 00:00,12-02-2022 00:00,32.35,0.58,8.6,16.52,150.38,75.33,Delhi,Delhi,"DTU, Delhi - CPCB"
12-02-2022 00:00,13-02-2022 00:00,29.56,0.64,6.89,20.69,205.6,103.46,Delhi,Delhi,"DTU, Delhi - CPCB"
